city,id
桃園市,68
台南市,67
台中市,66
新北市,65
高雄市,64
台北市,63
嘉義市,10020
新竹市,10018
基隆市,10017
澎湖縣,10016
花蓮縣,10015
台東縣,10014
屏東縣,10013
嘉義縣,10010
雲林縣,10009
南投縣,10008
彰化縣,10007
苗栗縣,10005
新竹縣,10004
宜蘭縣,10002
金門縣,09020
連江縣,09007
